"Step","devout-sweep-13 - train/eps_reward","devout-sweep-13 - train/eps_reward__MIN","devout-sweep-13 - train/eps_reward__MAX","fine-sweep-7 - train/eps_reward","fine-sweep-7 - train/eps_reward__MIN","fine-sweep-7 - train/eps_reward__MAX","dry-sweep-3 - train/eps_reward","dry-sweep-3 - train/eps_reward__MIN","dry-sweep-3 - train/eps_reward__MAX"
"296","0.09999999999999998","0.09999999999999998","0.09999999999999998","0","0","0","0","0","0"
"297","0","0","0","0.16749999999999998","0.16749999999999998","0.16749999999999998","0","0","0"
"298","0.48250000000000004","0.48250000000000004","0.48250000000000004","0.2799999999999999","0.2799999999999999","0.2799999999999999","0","0","0"
"299","0","0","0","0","0","0","0","0","0"
"300","0.7975","0.7975","0.7975","0","0","0","0.21250000000000002","0.21250000000000002","0.21250000000000002"
"301","0","0","0","0","0","0","0","0","0"
"302","0","0","0","0","0","0","0","0","0"
"303","0","0","0","0","0","0","0","0","0"
"304","0","0","0","0","0","0","0","0","0"
"305","0.21250000000000002","0.21250000000000002","0.21250000000000002","0","0","0","0","0","0"
"306","0","0","0","0","0","0","0","0","0"
"307","0","0","0","0","0","0","0","0","0"
"308","0","0","0","0","0","0","0","0","0"
"309","0","0","0","0","0","0","0","0","0"
"310","0","0","0","0","0","0","0","0","0"
"311","0.39249999999999996","0.39249999999999996","0.39249999999999996","0.82","0.82","0.82","0","0","0"
"312","0","0","0","0","0","0","0","0","0"
"313","0","0","0","0","0","0","0","0","0"
"314","0","0","0","0","0","0","0","0","0"
"315","0","0","0","0","0","0","0","0","0"
"316","0.73","0.73","0.73","0","0","0","0.8425","0.8425","0.8425"
"317","0","0","0","0.3025","0.3025","0.3025","0","0","0"
"318","0","0","0","0","0","0","0","0","0"
"319","0","0","0","0","0","0","0","0","0"
"320","0.12250000000000005","0.12250000000000005","0.12250000000000005","0","0","0","0","0","0"
"321","0","0","0","0","0","0","0","0","0"
"322","0","0","0","0","0","0","0","0","0"
"323","0","0","0","0","0","0","0.73","0.73","0.73"
"324","0","0","0","0","0","0","0","0","0"
"325","0","0","0","0","0","0","0","0","0"
"326","0","0","0","0","0","0","0","0","0"
"327","0","0","0","0","0","0","0","0","0"
"328","0.4149999999999999","0.4149999999999999","0.4149999999999999","0","0","0","0","0","0"
"329","0","0","0","0","0","0","0","0","0"
"330","0","0","0","0","0","0","0","0","0"
"331","0","0","0","0","0","0","0","0","0"
"332","0","0","0","0","0","0","0","0","0"
"333","0","0","0","0","0","0","0","0","0"
"334","0.7525","0.7525","0.7525","0.7075","0.7075","0.7075","0.7975","0.7975","0.7975"
"335","0","0","0","0","0","0","0","0","0"
"336","0","0","0","0","0","0","0","0","0"
"337","0","0","0","0","0","0","0","0","0"
"338","0","0","0","0","0","0","0","0","0"
"339","0","0","0","0","0","0","0","0","0"
"340","0","0","0","0","0","0","0","0","0"
"341","0","0","0","0","0","0","0","0","0"
"342","0.12250000000000005","0.12250000000000005","0.12250000000000005","0","0","0","0","0","0"
"343","0","0","0","0","0","0","0","0","0"
"344","0.7075","0.7075","0.7075","0","0","0","0","0","0"
"345","0.32499999999999996","0.32499999999999996","0.32499999999999996","0","0","0","0","0","0"
"346","0.12250000000000005","0.12250000000000005","0.12250000000000005","0","0","0","0","0","0"
"347","0","0","0","0","0","0","0","0","0"
"348","0.12250000000000005","0.12250000000000005","0.12250000000000005","0","0","0","0","0","0"
"349","0","0","0","0","0","0","0.21250000000000002","0.21250000000000002","0.21250000000000002"
"350","0","0","0","0","0","0","0","0","0"
"351","0","0","0","0","0","0","0","0","0"
"352","0","0","0","0","0","0","0","0","0"
"353","0","0","0","0","0","0","0","0","0"
"354","0","0","0","0","0","0","0","0","0"
"355","0","0","0","0","0","0","0","0","0"
"356","0","0","0","0","0","0","0","0","0"
"357","0","0","0","0","0","0","0","0","0"
"358","0","0","0","0","0","0","0","0","0"
"359","0","0","0","0","0","0","0","0","0"
"360","0","0","0","0","0","0","0","0","0"
"361","0","0","0","0","0","0","0","0","0"
"362","0","0","0","0","0","0","0","0","0"
"363","0","0","0","0","0","0","0","0","0"
"364","0","0","0","0","0","0","0","0","0"
"365","0","0","0","0","0","0","0.4375","0.4375","0.4375"
"366","0","0","0","0","0","0","0","0","0"
"367","0","0","0","0","0","0","0","0","0"
"368","0","0","0","0","0","0","0","0","0"
"369","0","0","0","0","0","0","0","0","0"
"370","0","0","0","0.6625","0.6625","0.6625","0","0","0"
"371","0","0","0","0","0","0","0.16749999999999998","0.16749999999999998","0.16749999999999998"
"372","0","0","0","0","0","0","0","0","0"
"373","0","0","0","0","0","0","0","0","0"
"374","0.7075","0.7075","0.7075","0","0","0","0","0","0"
"375","0","0","0","0","0","0","0","0","0"
"376","0","0","0","0","0","0","0","0","0"
"377","0","0","0","0","0","0","0","0","0"
"378","0.14500000000000002","0.14500000000000002","0.14500000000000002","0.595","0.595","0.595","0.7075","0.7075","0.7075"
"379","0","0","0","0","0","0","0","0","0"
"380","0","0","0","0","0","0","0","0","0"
"381","0","0","0","0","0","0","0","0","0"
"382","0","0","0","0","0","0","0","0","0"
"383","0","0","0","0","0","0","0","0","0"
"384","0","0","0","0","0","0","0","0","0"
"385","0","0","0","0","0","0","0","0","0"
"386","0","0","0","0","0","0","0","0","0"
"387","0","0","0","0","0","0","0","0","0"
"388","0","0","0","0","0","0","0","0","0"
"389","0","0","0","0","0","0","0","0","0"
"390","0","0","0","0","0","0","0","0","0"
"391","0","0","0","0","0","0","0","0","0"
"392","0","0","0","0","0","0","0","0","0"
"393","0","0","0","0","0","0","0","0","0"
"394","0","0","0","0","0","0","0","0","0"
"395","0","0","0","0","0","0","0","0","0"
"396","0.2799999999999999","0.2799999999999999","0.2799999999999999","0","0","0","0.8425","0.8425","0.8425"
"397","0","0","0","0","0","0","0","0","0"
"398","0","0","0","0","0","0","0","0","0"
"399","0","0","0","0","0","0","0","0","0"
"400","0","0","0","0","0","0","0","0","0"
"401","0","0","0","0","0","0","0.21250000000000002","0.21250000000000002","0.21250000000000002"
"402","0.6625","0.6625","0.6625","0","0","0","0","0","0"
"403","0","0","0","0","0","0","0","0","0"
"404","0","0","0","0","0","0","0","0","0"
"405","0","0","0","0.4375","0.4375","0.4375","0","0","0"
"406","0","0","0","0","0","0","0","0","0"
"407","0","0","0","0","0","0","0.685","0.685","0.685"
"408","0","0","0","0.5725","0.5725","0.5725","0","0","0"
"409","0","0","0","0.25750000000000006","0.25750000000000006","0.25750000000000006","0","0","0"
"410","0.82","0.82","0.82","0.82","0.82","0.82","0.7525","0.7525","0.7525"
"411","0","0","0","0","0","0","0","0","0"
"412","0","0","0","0","0","0","0","0","0"
"413","0","0","0","0","0","0","0","0","0"
"414","0","0","0","0","0","0","0","0","0"
"415","0.39249999999999996","0.39249999999999996","0.39249999999999996","0","0","0","0","0","0"
"416","0","0","0","0.685","0.685","0.685","0","0","0"
"417","0","0","0","0","0","0","0","0","0"
"418","0","0","0","0","0","0","0","0","0"
"419","0","0","0","0","0","0","0","0","0"
"420","0","0","0","0","0","0","0","0","0"
"421","0","0","0","0","0","0","0","0","0"
"422","0","0","0","0","0","0","0","0","0"
"423","0","0","0","0","0","0","0.5049999999999999","0.5049999999999999","0.5049999999999999"
"424","0","0","0","0","0","0","0","0","0"
"425","0","0","0","0","0","0","0","0","0"
"426","0","0","0","0","0","0","0","0","0"
"427","0","0","0","0","0","0","0","0","0"
"428","0","0","0","0","0","0","0","0","0"
"429","0","0","0","0","0","0","0.3025","0.3025","0.3025"
"430","0","0","0","0","0","0","0","0","0"
"431","0","0","0","0","0","0","0","0","0"
"432","0","0","0","0","0","0","0","0","0"
"433","0","0","0","0","0","0","0","0","0"
"434","0","0","0","0","0","0","0","0","0"
"435","0","0","0","0","0","0","0","0","0"
"436","0","0","0","0","0","0","0","0","0"
"437","0","0","0","0","0","0","0","0","0"
"438","0","0","0","0","0","0","0","0","0"
"439","0","0","0","0.48250000000000004","0.48250000000000004","0.48250000000000004","0","0","0"
"440","0","0","0","0","0","0","0","0","0"
"441","0","0","0","0","0","0","0","0","0"
"442","0","0","0","0","0","0","0","0","0"
"443","0","0","0","0","0","0","0","0","0"
"444","0","0","0","0","0","0","0","0","0"
"445","0","0","0","0","0","0","0","0","0"
"446","0.73","0.73","0.73","0","0","0","0","0","0"
"447","0","0","0","0","0","0","0","0","0"
"448","0.7525","0.7525","0.7525","0.865","0.865","0.865","0","0","0"
"449","0","0","0","0","0","0","0","0","0"
"450","0","0","0","0","0","0","0","0","0"
"451","0","0","0","0","0","0","0","0","0"
"452","0","0","0","0","0","0","0","0","0"
"453","0","0","0","0","0","0","0","0","0"
"454","0","0","0","0","0","0","0","0","0"
"455","0.21250000000000002","0.21250000000000002","0.21250000000000002","0","0","0","0.18999999999999995","0.18999999999999995","0.18999999999999995"
"456","0","0","0","0","0","0","0","0","0"
"457","0","0","0","0","0","0","0","0","0"
"458","0","0","0","0.3025","0.3025","0.3025","0","0","0"
"459","0","0","0","0","0","0","0","0","0"
"460","0","0","0","0","0","0","0","0","0"
"461","0","0","0","0","0","0","0","0","0"
"462","0","0","0","0","0","0","0","0","0"
"463","0","0","0","0","0","0","0","0","0"
"464","0","0","0","0","0","0","0","0","0"
"465","0","0","0","0","0","0","0","0","0"
"466","0","0","0","0","0","0","0","0","0"
"467","0","0","0","0","0","0","0","0","0"
"468","0","0","0","0","0","0","0","0","0"
"469","0","0","0","0","0","0","0","0","0"
"470","0","0","0","0","0","0","0","0","0"
"471","0.5725","0.5725","0.5725","0","0","0","0","0","0"
"472","0","0","0","0","0","0","0","0","0"
"473","0","0","0","0","0","0","0","0","0"
"474","0.34750000000000003","0.34750000000000003","0.34750000000000003","0","0","0","0.8875","0.8875","0.8875"
"475","0","0","0","0","0","0","0","0","0"
"476","0","0","0","0","0","0","0","0","0"
"477","0","0","0","0","0","0","0","0","0"
"478","0","0","0","0","0","0","0","0","0"
"479","0","0","0","0","0","0","0","0","0"
"480","0","0","0","0","0","0","0","0","0"
"481","0","0","0","0","0","0","0","0","0"
"482","0","0","0","0","0","0","0","0","0"
"483","0.865","0.865","0.865","0.5049999999999999","0.5049999999999999","0.5049999999999999","0.6399999999999999","0.6399999999999999","0.6399999999999999"
"484","0","0","0","0","0","0","0","0","0"
"485","0","0","0","0","0","0","0","0","0"
"486","0","0","0","0","0","0","0.595","0.595","0.595"
"487","0","0","0","0","0","0","0","0","0"
"488","0","0","0","0","0","0","0","0","0"
"489","0","0","0","0","0","0","0","0","0"
"490","0","0","0","0","0","0","0","0","0"
"491","0","0","0","0","0","0","0","0","0"
"492","0","0","0","0","0","0","0","0","0"
"493","0","0","0","0","0","0","0","0","0"
"494","0","0","0","0","0","0","0","0","0"
"495","0","0","0","0","0","0","0.37","0.37","0.37"
"496","0","0","0","0","0","0","0","0","0"
"497","0","0","0","0","0","0","0","0","0"
"498","0","0","0","0","0","0","0","0","0"
"499","0","0","0","0","0","0","0","0","0"
"500","0","0","0","0","0","0","0","0","0"
"501","0","0","0","0","0","0","0","0","0"
"502","0","0","0","0","0","0","0","0","0"
"504","0","0","0","0","0","0","0","0","0"
"505","0","0","0","0","0","0","0","0","0"
"506","0.7975","0.7975","0.7975","0","0","0","0.8875","0.8875","0.8875"
"507","0","0","0","0","0","0","0","0","0"
"508","0","0","0","0","0","0","0","0","0"
"509","0","0","0","0","0","0","0","0","0"
"510","0","0","0","0","0","0","0","0","0"
"511","0","0","0","0","0","0","0","0","0"
"512","0","0","0","0","0","0","0","0","0"
"513","0","0","0","0","0","0","0","0","0"
"514","0.25750000000000006","0.25750000000000006","0.25750000000000006","0","0","0","0","0","0"
"515","0.685","0.685","0.685","0","0","0","0","0","0"
"516","0","0","0","0","0","0","0","0","0"
"517","0","0","0","0","0","0","0","0","0"
"518","0","0","0","0","0","0","0","0","0"
"519","0","0","0","0","0","0","0","0","0"
"520","0","0","0","0","0","0","0","0","0"
"521","0","0","0","0","0","0","0","0","0"
"522","0.6399999999999999","0.6399999999999999","0.6399999999999999","0.8875","0.8875","0.8875","0","0","0"
"523","0","0","0","0","0","0","0","0","0"
"524","0","0","0","0","0","0","0","0","0"
"525","0","0","0","0","0","0","0","0","0"
"526","0","0","0","0","0","0","0","0","0"
"527","0.6399999999999999","0.6399999999999999","0.6399999999999999","0","0","0","0","0","0"
"528","0","0","0","0","0","0","0","0","0"
"529","0","0","0","0","0","0","0","0","0"
"530","0","0","0","0","0","0","0","0","0"
"531","0","0","0","0","0","0","0","0","0"
"532","0","0","0","0.8875","0.8875","0.8875","0","0","0"
"533","0","0","0","0","0","0","0","0","0"
"534","0","0","0","0","0","0","0","0","0"
"535","0","0","0","0","0","0","0","0","0"
"536","0","0","0","0","0","0","0","0","0"
"537","0","0","0","0","0","0","0","0","0"
"538","0","0","0","0","0","0","0","0","0"
"539","0","0","0","0","0","0","0","0","0"
"540","0","0","0","0","0","0","0","0","0"
"541","0","0","0","0","0","0","0","0","0"
"542","0","0","0","0","0","0","0","0","0"
"543","0","0","0","0","0","0","0","0","0"
"544","0","0","0","0.685","0.685","0.685","0.775","0.775","0.775"
"545","0.12250000000000005","0.12250000000000005","0.12250000000000005","0","0","0","0","0","0"
"546","0","0","0","0","0","0","0","0","0"
"547","0","0","0","0","0","0","0","0","0"
"548","0.55","0.55","0.55","0.09999999999999998","0.09999999999999998","0.09999999999999998","0","0","0"
"549","0","0","0","0","0","0","0","0","0"
"550","0","0","0","0","0","0","0","0","0"
"551","0","0","0","0","0","0","0","0","0"
"552","0","0","0","0","0","0","0","0","0"
